,logline,Action,ID
1254,onExtend:1514041326000 0 0 5,Step_LSC,30002312
215,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1541,initUserPrivacy the userPrivacy is true,HiH_,30002312
1980,sendSyncFailedBroadcast,HiH_HiBroadcastUtil,30002312
831,onStandStepChanged 3748,Step_LSC,30002312
1702,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
1527, getTodayTotalDetailSteps = 1514042880000##7214##549659##8661##16256##31588757,Step_SPUtils,30002312
922,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1721,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
534,setTodayTotalDetailSteps=1514038560000##7105##548582##8661##16256##27319968,Step_SPUtils,30002312
630,onStandStepChanged 3702,Step_LSC,30002312
1816, getTodayTotalDetailSteps = 1514044740000##0##549659##8661##16256##33449757,Step_SPUtils,30002312
300,REPORT : 7052 5035 151053 240,Step_StandReportReceiver,30002312
523,REPORT : 7103 5071 152146 240,Step_StandReportReceiver,30002312
1333,onStandStepChanged 3761,Step_LSC,30002312
846,onExtend:1514038803000 2 0 4,Step_LSC,30002312
1871,onStandStepChanged 3786,Step_LSC,30002312
540, getTodayTotalDetailSteps = 1514038560000##7105##548582##8661##16256##27319968,Step_SPUtils,30002312
1483,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1799,setGoalNotifiShownRecord 1514044800237 false,Step_SPUtils,30002312
1793, getTodayTotalDetailSteps = 1514044560000##7214##549659##8661##16256##33306763,Step_SPUtils,30002312
1669, getTodayTotalDetailSteps = 1514044320000##7214##549659##8661##16256##33075759,Step_SPUtils,30002312
1658,setTodayTotalDetailSteps=1514044320000##7214##549659##8661##16256##33066759,Step_SPUtils,30002312
527,setTodayTotalDetailSteps=1514038560000##7104##548581##8661##16256##27319473,Step_SPUtils,30002312
1833,onExtend:1514045177000 0 0 0,Step_LSC,30002312
1757,setTodayTotalDetailSteps=1514044500000##7214##549659##8661##16256##33239758,Step_SPUtils,30002312
311, getTodayTotalDetailSteps = 1514038440000##7053##548365##8661##16256##27202475,Step_SPUtils,30002312
600,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1874,setTodayTotalDetailSteps=1514045280000##0##549659##8661##16256##33990761,Step_SPUtils,30002312
1470,flush sensor data,Step_StandStepCounter,30002312
412,onStandStepChanged 3649,Step_LSC,30002312
360,setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,Step_SPUtils,30002312
1047,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
736,checkInsertStatus stepStatSum or calorieStatSum is enough,HiH_HiSyncControl,30002312
144,calculateCaloriesWithCache totalCalories=127182,Step_ExtSDM,30002312
1576,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
323,onStandStepChanged 3626,Step_LSC,30002312
896, getTodayTotalDetailSteps = 1514038740000##7189##549557##8661##16256##27452491,Step_SPUtils,30002312
422,setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,Step_SPUtils,30002312
487,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1217,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
919,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27706526,Step_SPUtils,30002312
515,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
853,onExtend:1514038803000 2 0 4,Step_LSC,30002312
1152,onExtend:1514040766000 0 0 0,Step_LSC,30002312
1331,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
370,REPORT : 7066 5045 151353 240,Step_StandReportReceiver,30002312
1365,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1348, getTodayTotalDetailSteps = 1514041980000##7189##549659##8661##16256##30709727,Step_SPUtils,30002312
113,onExtend:1514038538000 1 0 4,Step_LSC,30002312
925,onExtend:1514039062000 0 0 0,Step_LSC,30002312
595,onStandStepChanged 3689,Step_LSC,30002312
707,getBinderPackageName packageName = com.huawei.health,HiH_HiAppUtil,30002312
727,startListenerChange subscribeList = [1],HiH_ListenerManager,30002312
524,onStandStepChanged 3676,Step_LSC,30002312
1644,onExtend:1514044411000 0 0 0,Step_LSC,30002312
605,setTodayTotalDetailSteps=1514038680000##7122##548870##8661##16256##27392978,Step_SPUtils,30002312
1401,REPORT : 7205 5144 154331 240,Step_StandReportReceiver,30002312
1155,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1977,"initUserPrivacy the userPrivacy switch is open, start push user data!",HiH_HiSyncControl,30002312
21, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,Step_SPUtils,30002312
51,calculateCaloriesWithCache totalCalories=126925,Step_ExtSDM,30002312
1477,onStandStepChanged 3786,Step_LSC,30002312
1292,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30315546,Step_SPUtils,30002312
1612,onStandStepChanged 3786,Step_LSC,30002312
371,onStandStepChanged 3640,Step_LSC,30002312
1700, getTodayTotalDetailSteps = 1514044380000##7214##549659##8661##16256##33119761,Step_SPUtils,30002312
556,calculateCaloriesWithCache totalCalories=128960,Step_ExtSDM,30002312
984,onStandStepChanged 3761,Step_LSC,30002312
94,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,Step_SPUtils,30002312
1791, getDiffTotalSteps= 1514044800231##0,Step_SPUtils,30002312
667, getTodayTotalDetailSteps = 1514038680000##7140##548910##8661##16256##27396969,Step_SPUtils,30002312
910,onExtend:1514038819000 0 0 5,Step_LSC,30002312
990, getTodayTotalDetailSteps = 1514039400000##7189##549659##8661##16256##28136544,Step_SPUtils,30002312
1628,setTodayTotalDetailSteps=1514044320000##7214##549659##8661##16256##33039758,Step_SPUtils,30002312
1383, getTodayTotalDetailSteps = 1514041980000##7198##549659##8661##16256##30729233,Step_SPUtils,30002312
