,logline,timestamp,Action,ID,cluster_id
0,onExtend:1514038530000 14 0 4,2017-12-23 22:15:29.615,Step_LSC,30002312,0
1,onReceive action: android.intent.action.SCREEN_ON,2017-12-23 22:15:29.633,Step_StandReportReceiver,30002312,4
2,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,2017-12-23 22:15:29.635,Step_LSC,30002312,0
3,flush sensor data,2017-12-23 22:15:29.635,Step_StandStepCounter,30002312,4
4, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,2017-12-23 22:15:29.635,Step_SPUtils,30002312,2
5,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,2017-12-23 22:15:29.636,Step_SPUtils,30002312,6
6,onStandStepChanged 3579,2017-12-23 22:15:29.636,Step_LSC,30002312,0
7,calculateCaloriesWithCache totalCalories=126775,2017-12-23 22:15:29.645,Step_ExtSDM,30002312,1
8,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:29.648,Step_ExtSDM,30002312,1
9,REPORT : 7007 5002 150089 240,2017-12-23 22:15:29.649,Step_StandReportReceiver,30002312,4
10,onExtend:1514038530000 0 0 4,2017-12-23 22:15:29.737,Step_LSC,30002312,0
11,onStandStepChanged 3579,2017-12-23 22:15:29.738,Step_LSC,30002312,0
12,onStandStepChanged 3580,2017-12-23 22:15:29.792,Step_LSC,30002312,0
13,onExtend:1514038530000 1 0 4,2017-12-23 22:15:29.800,Step_LSC,30002312,0
14, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,2017-12-23 22:15:29.950,Step_SPUtils,30002312,2
15,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,2017-12-23 22:15:29.950,Step_SPUtils,30002312,6
16,calculateCaloriesWithCache totalCalories=126797,2017-12-23 22:15:29.959,Step_ExtSDM,30002312,1
17,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:29.962,Step_ExtSDM,30002312,1
18,REPORT : 7008 5003 150111 240,2017-12-23 22:15:29.962,Step_StandReportReceiver,30002312,4
19,onStandStepChanged 3581,2017-12-23 22:15:30.331,Step_LSC,30002312,0
20,onExtend:1514038531000 1 0 4,2017-12-23 22:15:30.335,Step_LSC,30002312,0
21, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,2017-12-23 22:15:30.632,Step_SPUtils,30002312,2
22,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,2017-12-23 22:15:30.632,Step_SPUtils,30002312,6
23,calculateCaloriesWithCache totalCalories=126818,2017-12-23 22:15:30.639,Step_ExtSDM,30002312,1
24,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:30.641,Step_ExtSDM,30002312,1
25,REPORT : 7009 5004 150132 240,2017-12-23 22:15:30.642,Step_StandReportReceiver,30002312,4
26,onStandStepChanged 3583,2017-12-23 22:15:30.841,Step_LSC,30002312,0
27,onExtend:1514038531000 2 0 4,2017-12-23 22:15:30.858,Step_LSC,30002312,0
28, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,2017-12-23 22:15:31.142,Step_SPUtils,30002312,2
29,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,2017-12-23 22:15:31.143,Step_SPUtils,30002312,6
30,calculateCaloriesWithCache totalCalories=126861,2017-12-23 22:15:31.157,Step_ExtSDM,30002312,1
31,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:31.160,Step_ExtSDM,30002312,1
32,REPORT : 7011 5005 150175 240,2017-12-23 22:15:31.160,Step_StandReportReceiver,30002312,4
33,onStandStepChanged 3584,2017-12-23 22:15:31.841,Step_LSC,30002312,0
34,onExtend:1514038532000 1 0 4,2017-12-23 22:15:31.862,Step_LSC,30002312,0
35, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,2017-12-23 22:15:32.145,Step_SPUtils,30002312,2
36,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,2017-12-23 22:15:32.147,Step_SPUtils,30002312,6
37,calculateCaloriesWithCache totalCalories=126882,2017-12-23 22:15:32.156,Step_ExtSDM,30002312,1
38,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:32.162,Step_ExtSDM,30002312,1
39,REPORT : 7012 5006 150197 240,2017-12-23 22:15:32.163,Step_StandReportReceiver,30002312,4
40,onStandStepChanged 3585,2017-12-23 22:15:32.340,Step_LSC,30002312,0
41,onExtend:1514038533000 1 0 4,2017-12-23 22:15:32.354,Step_LSC,30002312,0
42, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,2017-12-23 22:15:32.647,Step_SPUtils,30002312,2
43,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,2017-12-23 22:15:32.648,Step_SPUtils,30002312,6
44,calculateCaloriesWithCache totalCalories=126904,2017-12-23 22:15:32.656,Step_ExtSDM,30002312,1
45,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:32.658,Step_ExtSDM,30002312,1
46,REPORT : 7013 5007 150218 240,2017-12-23 22:15:32.659,Step_StandReportReceiver,30002312,4
47,onStandStepChanged 3586,2017-12-23 22:15:32.840,Step_LSC,30002312,0
48,onExtend:1514038533000 1 0 4,2017-12-23 22:15:32.846,Step_LSC,30002312,0
49, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,2017-12-23 22:15:33.144,Step_SPUtils,30002312,2
50,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,2017-12-23 22:15:33.144,Step_SPUtils,30002312,6
51,calculateCaloriesWithCache totalCalories=126925,2017-12-23 22:15:33.148,Step_ExtSDM,30002312,1
52,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:33.149,Step_ExtSDM,30002312,1
53,REPORT : 7014 5007 150239 240,2017-12-23 22:15:33.149,Step_StandReportReceiver,30002312,4
54,onStandStepChanged 3587,2017-12-23 22:15:33.341,Step_LSC,30002312,0
55,onExtend:1514038534000 1 0 4,2017-12-23 22:15:33.370,Step_LSC,30002312,0
56, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,2017-12-23 22:15:33.643,Step_SPUtils,30002312,2
57,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,2017-12-23 22:15:33.644,Step_SPUtils,30002312,6
